uuid,Boring
4c41ad31-03a0-4cf4-909e-5aebae0ab19b,2.38
4edd9d71-6c73-43b0-8367-ec360c3408a1,4.72
115e3ec7-c52d-4ceb-a567-e333ce47e0c9,4.96
c23b33d4-1b36-43a3-a166-de1386013b4a,5.31
15a8dff1-8f72-4af3-b9b5-9b8c9af83104,2.0
b3c761e6-98b1-443a-b60f-6c49792fbbed,4.95
fb585bb8-aaa5-416b-880f-bd811ee85a09,2.84
66f1dc4b-efff-4149-8a24-b230d5f949e6,1.99
feb31f70-8974-455d-91a9-467239747081,3.66
7603a0e5-fae1-4bff-8273-b85837cfbcf6,3.58
e9a5ff7f-5f30-42ac-8371-299ec99bf40d,1.97
973c2c32-55bb-4c51-af39-23493679d26f,1.83
4099bc32-1539-417f-abb7-f0e11fb4f543,1.86
b46907dc-5c7a-4851-958f-96f71da9d6e8,3.69
cbe01574-c449-41cd-adbf-7f0baafdc13e,5.17
da99fd9c-8a91-4259-8018-ca6a5998026d,2.03
14eaed40-1030-48cf-b8e4-9141bccd2013,4.47
4dc15fca-906b-407a-a377-5331b0230b59,4.14
58ba4f53-acb2-413c-9ca3-afe856278ab1,1.31
d11815fb-a336-49ce-a509-06f16c758708,1.62
addbd0d7-fdde-465b-864c-51e342bfa25d,4.0
f4f596fb-66e3-4fa1-bc82-15ed7eb73343,6.16
ae62555a-4b80-40c7-adbf-90265464a977,2.64
0fa8532f-156c-42db-8696-2e104fa5088c,2.94
6ca0dcdc-6886-4297-99d4-0c326b1afef6,2.47
9f214df3-3d50-45bd-a43d-88cabd611e9a,3.61
1131442f-f67f-4d16-b1f5-87439fc56ebf,4.34
db522a34-579f-41d6-a812-ed3df30e36eb,4.29
92b6aa0a-ee12-45eb-8d7d-56c32f5de619,7.54
06129dab-7e25-4900-bc50-3afc5cafa321,2.07
83d8e112-62c2-4546-aed2-23493c23bec9,3.76
1b091d15-4637-4306-aff7-0312b89d4a93,2.89
a1c98422-2277-4185-be5c-53485f5a9e68,4.24
ab6d4252-09d4-42d4-b479-1cef6d8676c6,0.97
c2fe0689-6484-469d-a5d4-13f37eebb7e6,2.68
0c021fda-e61c-49f0-83ed-5e47a0eb086b,1.67
5d14f52f-52e6-46e8-b5ce-d39bb6c9a268,5.11
cc775d66-2c72-491e-90a0-485a74e0d609,4.55
f8dab6cd-67a7-4879-be7c-ca159cd51527,5.96
9e1f0817-d7b4-4413-901a-644fd7de053e,3.16
53dce5fc-33db-426c-9494-89c2b1a985e9,2.45
e6e2cf2e-7cf8-47bf-b523-fc4eb7a45100,4.08
a3ac8864-14d8-4e81-9262-05f64965cbf6,0.93
53656426-69ad-4b5f-aeb7-c0b6578761e3,2.46
23522a36-88ba-4873-a73b-9ec243e4e543,4.84
ba67563d-de73-46b0-aedb-b2a11e16e6b6,2.67
ac9263d9-b0c6-417e-802f-9b5efe61cf98,1.18
3aed155d-78f4-433a-a495-e856409b6806,3.09
a85bbd1a-efc2-4392-97db-6430b49c48f2,1.05
41af8b42-9045-4bfe-9b9c-126f531ad0e2,3.23
