,uuid,source,orig_id,urban_code,urban_term
0,fc27f6bd-3315-43d0-ab7d-c2529bd09b03,Mapillary,487029289408518,23,dense urban cluster
1,ee2b4204-62b0-4a10-973d-5fe5d2c9f606,Mapillary,1911949492302126,30,urban centre
2,eaa66d84-b317-4588-9e20-2b62aa22cfd8,Mapillary,4014873981891494,30,urban centre
3,e91e9014-37ab-48a2-bd7a-cddf9c5c399b,Mapillary,1613619158839928,30,urban centre
4,e13ead66-a9d1-4a5d-87b3-87481fabdf4a,Mapillary,251788460030794,30,urban centre
5,dbcc3663-49d1-4c05-a6ed-4dc3ae6f6061,Mapillary,162325112503024,30,urban centre
6,db090b0b-b6e9-4318-a432-225d83109542,Mapillary,227488628823257,30,urban centre
7,d784ff3c-b45a-424a-ac7d-eb366d8dd995,Mapillary,302823854649153,23,dense urban cluster
8,d4cd4b7b-aec9-4525-b9d5-8bab201bf8c5,Mapillary,1573577382835548,30,urban centre
9,be2527d0-0b21-4000-90eb-40f0d3e33367,Mapillary,762759514391120,23,dense urban cluster
10,a794bad2-a826-47c7-8417-54ef6e9d3fd5,Mapillary,1085842441905172,30,urban centre
11,a3ddd13d-a6bf-4abe-bc97-0e896ddbb58c,Mapillary,129497249124621,23,dense urban cluster
12,97fb0fd9-6b8e-480b-967b-ab86c89f427b,Mapillary,2643856569248041,30,urban centre
13,964c05a7-364a-4a23-9e36-b9dae57e6709,Mapillary,216443753376621,30,urban centre
14,8b301438-9498-489a-996e-2ec60cef760f,Mapillary,801320764136858,30,urban centre
15,6fa67d91-0bf5-4914-a1c5-4859a6cedfbd,Mapillary,531109791599907,30,urban centre
16,6c0dcd34-b7da-4324-8541-61da9c879b2f,Mapillary,555931662062869,30,urban centre
17,5a51ac08-742a-4808-90e9-440c6c03461c,Mapillary,305726617676665,23,dense urban cluster
18,58c85061-021f-4122-b3b5-a2470f35c341,Mapillary,871477950414260,30,urban centre
19,4f0e9070-13a5-4ea3-bcb9-6666862b2fad,Mapillary,390987432221616,30,urban centre
20,4d2c563d-5241-49d1-addf-3c096c0534a2,Mapillary,886187308918211,30,urban centre
21,4c352b2d-ec50-4c52-ad4c-24a67a0da110,Mapillary,2967575596859955,30,urban centre
22,41c85f14-2ed6-42f7-b2f2-fd2318d70eea,Mapillary,149717844218275,23,dense urban cluster
23,3a4b60ca-5f62-4a3a-a255-e16a211554a9,Mapillary,912307629327688,30,urban centre
24,3997a807-6d56-46e9-8675-337c2a505626,Mapillary,147369440641978,30,urban centre
25,278347a2-48df-4d48-9f06-f1c5c937fca8,Mapillary,297817391952511,23,dense urban cluster
26,22deb7a3-0fc5-4723-9945-08e246b2e05c,Mapillary,162368295825256,30,urban centre
27,22aab2fb-fcc3-47d6-a857-70227723494c,Mapillary,500236801200574,30,urban centre
28,21da6685-c215-4b47-9a7d-8fefb790fcb2,Mapillary,2935461220075965,30,urban centre
29,19c9cb57-4eb9-452a-966f-3da37a6a8a8a,Mapillary,908523803329750,23,dense urban cluster
30,175b878c-d03a-4655-b02f-759312fe58cc,Mapillary,1351283651916585,30,urban centre
31,112eaf30-08be-450a-82f0-ebe271c1027a,Mapillary,776765546363571,30,urban centre
32,08291c85-45e9-4b7e-9c7f-8319df8cacaa,Mapillary,1032840184186814,30,urban centre
33,05752827-e598-41ab-b2ad-4db807a6b54a,Mapillary,982334042549854,30,urban centre
34,013626b6-b16f-44d4-b3cc-909b58841580,Mapillary,523933542098228,30,urban centre
35,009700da-2ab7-4e51-96ed-7bc3bc8df153,Mapillary,524061098757516,30,urban centre
36,eb94b1f3-8f42-450f-affc-aae9824b58fe,KartaView,1504505833,30,urban centre
37,d919a705-e19d-4924-9c61-ca66378d49d7,KartaView,1504508409,30,urban centre
38,6a6fc3fb-a4fc-482d-96dd-b8be1c66e74d,KartaView,440181229,30,urban centre
39,195a2083-f4bb-40b8-96cf-06779a7f20b9,KartaView,1504508985,30,urban centre
